sample,origin_state,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10
0,0,-1105771.6947496748,-1105780.632657262,-1105788.7212974774,-1105795.9668091028,-1105802.366424592,-1105807.9220089694,-1105805.5564970265,-1105804.0994304647,-1105802.8745193034,-1105799.997116984,-1105796.0547931767
1,0,-1107066.5590177395,-1107075.3502576135,-1107083.2691317922,-1107090.3500560126,-1107096.6833268472,-1107102.2201536603,-1107100.3976344022,-1107099.5874822023,-1107096.915640188,-1107093.4306048728,-1107089.2641811355
2,0,-1107371.6011541618,-1107380.2894536438,-1107388.1725136847,-1107395.2530198058,-1107401.5286169033,-1107407.0017213477,-1107403.10297297,-1107399.2606319895,-1107395.6259184228,-1107391.7298605922,-1107387.5121473256
3,0,-1105418.1720848018,-1105426.1013800432,-1105433.2037723318,-1105439.4825870835,-1105444.9377027578,-1105449.5688184672,-1105446.2282452749,-1105443.2470627176,-1105440.3557358999,-1105436.9028439494,-1105432.8667069934
4,0,-1105567.932616852,-1105576.5829744183,-1105584.398439393,-1105591.3897260563,-1105597.5517765307,-1105602.8859585088,-1105599.578690497,-1105596.5055012591,-1105593.783475764,-1105590.3687597231,-1105586.3492197474
5,0,-1106617.9647262767,-1106626.400401194,-1106634.0081272526,-1106640.7923231549,-1106646.7511510022,-1106651.8849736892,-1106648.2963149112,-1106645.028604926,-1106641.6940916278,-1106638.0142077617,-1106633.9418276886
6,0,-1106229.064229931,-1106237.7292437707,-1106245.5714011549,-1106252.6008934998,-1106258.8136332913,-1106264.210820962,-1106260.5872437477,-1106257.1972696143,-1106254.1281490205,-1106250.4314136256,-1106246.0931927348
7,0,-1106836.9833300998,-1106845.3513343127,-1106852.8055559827,-1106859.2715939977,-1106864.9959541871,-1106869.9299110298,-1106865.8136149384,-1106862.0155007686,-1106857.9695930923,-1106853.747957272,-1106849.3468011152
8,0,-1106944.5539558867,-1106952.507856577,-1106959.6725721206,-1106966.0454258767,-1106971.6279410324,-1106976.420189788,-1106972.614878102,-1106968.829168187,-1106965.3235663623,-1106961.618023814,-1106957.3924352215
9,0,-1107784.9246240612,-1107793.1069614305,-1107800.485808918,-1107807.0622395996,-1107812.8362849914,-1107817.8071528347,-1107813.8878616972,-1107810.0389704308,-1107806.4985619728,-1107802.540255736,-1107798.212108497
