subset,left_out,n,pearson_r,pearson_p,spearman_r,spearman_p,r_squared
neg_pos_controls,none,12,0.5919131639746793,0.042604076636758206,0.5104895104895105,0.08991373630263919,0.3503611936865156
neg_pos_controls,V106I,11,0.6661760697228678,0.02521720280633544,0.6545454545454547,0.028864598957001896,0.4437905558714072
neg_pos_controls,K103N,11,0.4755921246824822,0.13926313027595433,0.4272727272727273,0.1899437249654271,0.2261878690599977
neg_pos_controls,Y181C,11,0.5546690184924283,0.07657286625719137,0.4272727272727273,0.1899437249654271,0.3076577200753538
neg_pos_controls,G190A,11,0.6222629849564949,0.04090905857348644,0.5545454545454546,0.0766523333397824,0.387211222446967
neg_pos_controls,V106A,11,0.5864962927737922,0.05789266327521666,0.46363636363636374,0.1509014992924859,0.3439779014374018
neg_pos_controls,Y318F,11,0.5904613724329031,0.05580775656866706,0.5272727272727273,0.09556521835315424,0.3486446323353475
neg_pos_controls,A98G+F227C,11,0.6710269082672282,0.0237971110929148,0.48181818181818187,0.13343383825682875,0.4502771116186751
neg_pos_controls,V106I+F227C,11,0.5527008153430684,0.07784522220645614,0.46363636363636374,0.1509014992924859,0.30547819128089254
neg_pos_controls,V106A+F227L,11,0.5715389734987516,0.06623367584635786,0.46363636363636374,0.1509014992924859,0.3266567982280067
neg_pos_controls,Y188L,11,0.5306294357932388,0.09308753300908046,0.45454545454545453,0.16014543725525887,0.281567598130251
neg_pos_controls,V106A+P225H,11,0.5728598982857336,0.06546627535879185,0.48181818181818187,0.13343383825682875,0.32816846306394104
neg_pos_controls,V106A+L234I,11,0.6855896576535399,0.019875014412037675,0.6818181818181819,0.02084285361094508,0.47003317868149797
