dataset,method,n,statistic,pvalue,permutation_p,bootstrap_ci95_low,bootstrap_median,bootstrap_ci95_high
mutation_summary_all,pearson,18,0.3261060545384845,0.18660969572204222,0.1872562548749025,-0.09456079950165606,0.3334980949783424,0.6881709273519719
mutation_summary_all,spearman,18,0.32920536635706915,0.18221199775917415,0.18175636487270255,-0.15580344618103495,0.32432432432432434,0.7232704402515722
mutation_summary_all,kendall,18,0.24183006535947715,0.17514287582080246,0.1745365092698146,-0.10344827586206895,0.2413793103448276,0.5857142857142857
mutation_summary_all,ordinary_least_squares,18,2.6841216775608756,,0.17764111794410278,,-2.199754244932947,0.10634515880665707
mutation_summary_all,huber,18,2.7213476675842414,,0.17379131043447826,,-2.16532198172912,0.10616723045475474
mutation_summary_all,theil_sen,18,2.713377483089829,,0.19939003049847506,,-2.095217370825869,0.10583431727572923
single_mutations_only,pearson,10,0.596442364305527,0.06874855363275591,0.0737985240295194,,,
single_mutations_only,spearman,10,0.4424242424242424,0.20042268671194216,0.20563588728225435,,,
combos_only,pearson,8,0.6849662090939904,0.06086004879318799,0.06631867362652746,,,
combos_only,spearman,8,0.7380952380952381,0.03655276105286082,0.045579088418231634,,,
exclude_y188l,pearson,17,0.23515333220633736,0.3635906642161562,0.3608127837443251,,,
exclude_y188l,spearman,17,0.2622549019607843,0.3092086598982379,0.3107937841243175,,,
exclude_v106i_f227c,pearson,17,0.25826519028571615,0.31689462793575174,0.31803363932721346,,,
exclude_v106i_f227c,spearman,17,0.26470588235294124,0.3045422200057607,0.30385392292154156,,,
exclude_controls_fold_lt2,pearson,15,0.22212854159963216,0.42621688417462145,0.4249115017699646,,,
exclude_controls_fold_lt2,spearman,15,0.22499999999999998,0.42010468690763486,0.4205715885682286,,,
replicate_level_unpooled,pearson,57,0.23761873618657164,0.0751045522036045,,,,
replicate_level_unpooled,spearman,57,0.23226703360124606,0.08210662029708458,,,,
replicate_level_unpooled,kendall,57,0.16015406564103535,0.08350434878041907,,,,
