mutation,replicate,PC1,PC2
F227C,1,1.643866,-1.4137819
F227C,1,0.5302974,-0.60861194
F227C,1,2.086912,-2.4784837
F227C,1,1.7222282,-2.1548328
F227C,1,2.9124646,-3.016499
F227C,1,0.7767837,-1.570088
F227C,1,1.5200627,-1.4802594
F227C,1,1.729419,-0.5508799
F227C,1,2.1218262,-1.8677334
F227C,1,0.38503268,0.15310505
F227C,1,2.3039634,-1.5174822
F227C,1,4.1352,-1.9935652
F227C,1,2.549921,-2.194236
F227C,1,2.6564527,-0.5717716
F227C,1,3.8568752,-0.64459753
F227C,1,3.178153,-2.8138916
F227C,1,1.8211229,-1.3958992
F227C,1,2.143919,-2.6712818
F227C,1,2.6084356,-0.070018195
F227C,1,2.5608346,-1.3551018
F227C,1,1.9389594,-1.3447145
F227C,1,2.6318195,-3.3116403
F227C,1,2.9483259,-1.0179607
F227C,1,2.1305182,-0.62066936
F227C,1,2.2668288,-1.029375
F227C,1,1.1482693,-0.6256454
F227C,1,2.7286186,-0.78434354
F227C,1,2.1788535,-0.95095253
F227C,1,-0.0922632,-1.8771007
F227C,1,1.1039445,-2.1777723
F227C,1,1.2825071,-1.0391805
F227C,1,1.7755325,-1.8991826
F227C,1,2.9332454,-1.1586405
F227C,1,1.9916769,-2.4150712
F227C,1,1.643018,-1.8229247
F227C,1,2.1738229,-1.4079666
F227C,1,1.6806096,-1.4107654
F227C,1,1.9700611,-2.0681772
F227C,1,2.0077488,-1.7424691
F227C,1,1.2977079,-0.4533195
F227C,1,2.308155,-3.2439315
F227C,1,1.8529449,-2.7274053
F227C,1,0.6164174,-2.7107146
F227C,1,2.0822265,-2.8006837
F227C,1,1.0639586,-2.4613783
F227C,1,1.6280091,-2.2625692
F227C,1,1.5264599,-2.3262973
F227C,1,2.8226655,-2.440212
F227C,1,2.0927618,-2.2185388
F227C,1,1.1315916,-1.7798343
F227C,1,1.5067394,-1.2496074
F227C,1,1.7626935,-1.8408852
F227C,1,1.4115307,-0.06896542
F227C,1,0.5496621,-2.6185622
F227C,1,-0.3143179,-2.2399929
F227C,1,2.7859778,-0.97293746
F227C,1,2.2398129,-1.5296675
F227C,1,1.595512,-2.392909
F227C,1,1.1863096,-1.7409884
F227C,1,1.708449,-2.1645417
F227C,1,1.5372411,-2.3200436
F227C,1,1.8856056,-1.1336888
F227C,1,2.4666464,-2.8572931
F227C,1,2.8771482,-3.2511225
F227C,1,1.8317876,-1.6930943
F227C,1,2.3784552,-2.4931295
F227C,1,1.4625984,-1.9843597
F227C,1,2.054624,-1.3811053
F227C,1,2.3833287,-2.794441
F227C,1,2.9850821,-3.4312203
F227C,1,3.2802627,-2.5833025
F227C,1,3.250868,-2.950064
F227C,1,2.090981,-0.69633603
F227C,1,2.3280208,-2.5015864
F227C,1,2.0472937,-1.1983728
F227C,1,2.8277752,-1.5032161
F227C,1,1.2394768,-1.6674578
F227C,1,3.3351612,-1.2182801
F227C,1,2.378869,-1.894881
F227C,1,1.5678582,-2.1139426
A98G+F227C,3,2.4495559,-5.417779
A98G+F227C,3,3.5138762,-2.1604524
A98G+F227C,3,2.601969,-1.516065
A98G+F227C,3,2.252787,-2.3818247
A98G+F227C,3,1.9410094,-2.695036
A98G+F227C,3,2.216305,-1.4864286
A98G+F227C,3,0.7628793,-0.6795248
A98G+F227C,3,1.758698,-1.2855024
A98G+F227C,3,3.3362215,-0.9972088
A98G+F227C,3,2.4036033,-3.9606166
A98G+F227C,3,2.5801017,-2.0126276
A98G+F227C,3,2.533066,0.089153975
A98G+F227C,3,3.1535013,-0.6435223
A98G+F227C,3,1.7005372,-1.7230966
A98G+F227C,3,3.10747,-0.28290308
A98G+F227C,3,3.171153,-1.3326463
A98G+F227C,3,2.5905194,-2.3306391
A98G+F227C,3,2.680579,-1.8581991
A98G+F227C,3,2.685699,-1.2678089
A98G+F227C,3,1.9727229,-1.2485439
A98G+F227C,3,4.029236,-2.3798273
A98G+F227C,3,2.3583481,-2.1841052
A98G+F227C,3,1.1918966,-1.3529294
A98G+F227C,3,3.157606,-2.061017
