feature,n_mutations,pearson_r,pearson_pvalue,spearman_rho,spearman_pvalue,r_squared,slope,intercept,linregress_pvalue
binding_dg_electrostatic_mean,19,0.6530333495654432,0.0024339505169612067,0.5204037359252778,0.022356785240811663,0.4264525556446624,0.06488429898026515,-29.745915488118243,0.002433950516961204
residue_min_distance_PRO225_angstrom_repstd,19,0.47756593187237983,0.03865564386313553,0.2176393364409256,0.3707544493755507,0.2280692192851345,0.0024264773596438093,0.17750067582232998,0.03865564386313559
residue_min_distance_LYS101_angstrom_repstd,19,0.46164410703079606,0.046626608703596396,0.5844669277002276,0.008588301247131435,0.21311528155626103,0.000744197607554704,0.1061487079307819,0.04662660870359638
residue_min_distance_TYR318_angstrom_repstd,19,-0.4466165626746822,0.055247363258900804,-0.3422554081127459,0.15148067820982514,0.19946635405534824,-0.0009417358442116312,0.2106574189017127,0.055247363258900756
ligand_pose_rmsd_angstrom_mean,19,0.43867494919905403,0.06026407347493414,0.2992540876062727,0.21326854067760967,0.19243571105479262,0.0005785042588807688,1.3760548801342176,0.06026407347493411
residue_min_distance_VAL179_angstrom_repstd,19,-0.417028720563536,0.0756774846793577,-0.5010970205958408,0.028849177866818825,0.1739129537748597,-0.0011361397055200601,0.24620854691258495,0.07567748467935786
residue_min_distance_PRO236_angstrom_mean,19,0.39914328386090414,0.09047217389150251,0.50636248841296,0.026948479558013362,0.1593153610512663,0.0009062102841551986,3.3303859001484986,0.09047217389150251
residue_min_distance_VAL106_angstrom_mean,19,0.3644002419059993,0.12506646361334478,0.32207111481378914,0.17871266335606106,0.13278753630115084,0.001104158277790032,3.21730780443706,0.12506646361334475
ligand_palm_depth_projection_angstrom_mean,19,-0.35924359395765926,0.13090257374006933,-0.20535324486764756,0.39901119834897936,0.12905595979961557,-0.0013666177260339446,7.561868619667112,0.13090257374006925
ligand_palm_distance_angstrom_repstd,19,-0.35642503985113294,0.13417232100818408,-0.3615621234421829,0.12825528640977726,0.12703880903288176,-0.0007450843955318627,0.29296993945853,0.13417232100818385
ligand_pose_rmsd_angstrom_repstd,19,0.35553431267741703,0.1352174552469661,0.2694164366425974,0.26467219060375363,0.12640464749100333,0.0004079525456604245,0.09054291325853774,0.13521745524696627
ligand_entrance_distance_angstrom_mean,19,-0.3465864438286305,0.1460346460837979,-0.18165863969061127,0.45669394216055825,0.12012216304577641,-0.0014239965606011092,7.655379225216614,0.14603464608379824
residue_min_distance_VAL108_angstrom_mean,19,-0.3282065172977394,0.17010868350289532,-0.6222027803895817,0.004445500934927,0.10771951799671133,-0.001033636657639105,3.9234167614697086,0.1701086835028955
