penalty,combo_size,feature_combo,feature,coefficient,abs_coefficient,direction,fullfit_best_c,fullfit_best_score,intercept
l1,2,binding_dg_electrostatic_mean|ligand_entrance_distance_angstrom_mean,binding_dg_electrostatic_mean,0.5198487066024174,0.5198487066024174,toward_high,1.0,0.6,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_entrance_distance_angstrom_mean,ligand_entrance_distance_angstrom_mean,-0.0,0.0,toward_high,1.0,0.6,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_palm_depth_projection_angstrom_mean,binding_dg_electrostatic_mean,0.5198487066024174,0.5198487066024174,toward_high,1.0,0.6,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_palm_depth_projection_angstrom_mean,ligand_palm_depth_projection_angstrom_mean,-0.0,0.0,toward_high,1.0,0.6,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_palm_distance_angstrom_repstd,ligand_palm_distance_angstrom_repstd,-0.9729007843652826,0.9729007843652826,toward_low,1.0,0.6,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_palm_distance_angstrom_repstd,binding_dg_electrostatic_mean,0.4988695027708067,0.4988695027708067,toward_high,1.0,0.6,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_pose_rmsd_angstrom_mean,binding_dg_electrostatic_mean,0.57609031461688,0.57609031461688,toward_high,10.0,0.55,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_pose_rmsd_angstrom_mean,ligand_pose_rmsd_angstrom_mean,0.4938826654045,0.4938826654045,toward_high,10.0,0.55,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_pose_rmsd_angstrom_repstd,binding_dg_electrostatic_mean,-0.0,0.0,toward_high,0.01,0.5,-0.0
l1,2,binding_dg_electrostatic_mean|ligand_pose_rmsd_angstrom_repstd,ligand_pose_rmsd_angstrom_repstd,-0.0,0.0,toward_high,0.01,0.5,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd,residue_min_distance_LYS101_angstrom_repstd,1.2989358562355893,1.2989358562355893,toward_high,1.0,0.8,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd,binding_dg_electrostatic_mean,0.5574076935710641,0.5574076935710641,toward_high,1.0,0.8,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_PRO225_angstrom_repstd,binding_dg_electrostatic_mean,-0.0,0.0,toward_high,0.01,0.5,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_PRO225_angstrom_repstd,residue_min_distance_PRO225_angstrom_repstd,-0.0,0.0,toward_high,0.01,0.5,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_PRO236_angstrom_mean,residue_min_distance_PRO236_angstrom_mean,0.7138918990096486,0.7138918990096486,toward_high,1.0,0.55,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_PRO236_angstrom_mean,binding_dg_electrostatic_mean,0.5983678751658019,0.5983678751658019,toward_high,1.0,0.55,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_TYR318_angstrom_repstd,binding_dg_electrostatic_mean,0.5198486831952717,0.5198486831952717,toward_high,1.0,0.6,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_TYR318_angstrom_repstd,residue_min_distance_TYR318_angstrom_repstd,-0.0,0.0,toward_high,1.0,0.6,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_VAL106_angstrom_mean,binding_dg_electrostatic_mean,0.7339650997797033,0.7339650997797033,toward_high,10.0,0.7,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_VAL106_angstrom_mean,residue_min_distance_VAL106_angstrom_mean,0.06597615603179786,0.06597615603179786,toward_high,10.0,0.7,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_VAL108_angstrom_mean,residue_min_distance_VAL108_angstrom_mean,-0.862726844533751,0.862726844533751,toward_low,1.0,0.75,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_VAL108_angstrom_mean,binding_dg_electrostatic_mean,0.6447542024285964,0.6447542024285964,toward_high,1.0,0.75,-0.0
l1,2,binding_dg_electrostatic_mean|residue_min_distance_VAL179_angstrom_repstd,binding_dg_electrostatic_mean,0.5198455061851557,0.5198455061851557,toward_high,1.0,0.6,-0.0
