global_frame_index,mutation,replicate,frame_local_index,frame_window_index,time_ns
0,WT,1,0,0,0.0
1,WT,1,1,2,0.40080160320641284
2,WT,1,2,5,1.0020040080160322
3,WT,1,3,8,1.6032064128256514
4,WT,1,4,11,2.2044088176352705
5,WT,1,5,13,2.6052104208416833
6,WT,1,6,16,3.2064128256513027
7,WT,1,7,19,3.807615230460922
8,WT,1,8,22,4.408817635270541
9,WT,1,9,25,5.01002004008016
10,WT,1,10,27,5.410821643286574
11,WT,1,11,30,6.012024048096192
12,WT,1,12,33,6.613226452905812
13,WT,1,13,36,7.214428857715431
14,WT,1,14,38,7.615230460921844
15,WT,1,15,41,8.216432865731463
16,WT,1,16,44,8.817635270541082
17,WT,1,17,47,9.418837675350701
18,WT,1,18,50,10.02004008016032
19,WT,1,19,52,10.420841683366733
20,WT,1,20,55,11.022044088176353
21,WT,1,21,58,11.623246492985972
22,WT,1,22,61,12.224448897795591
23,WT,1,23,63,12.625250501002004
24,WT,1,24,66,13.226452905811623
25,WT,1,25,69,13.827655310621243
26,WT,1,26,72,14.428857715430862
27,WT,1,27,75,15.030060120240481
28,WT,1,28,77,15.430861723446894
29,WT,1,29,80,16.032064128256515
30,WT,1,30,83,16.633266533066134
31,WT,1,31,86,17.234468937875754
32,WT,1,32,88,17.635270541082164
33,WT,1,33,91,18.236472945891784
34,WT,1,34,94,18.837675350701403
35,WT,1,35,97,19.438877755511022
36,WT,1,36,100,20.04008016032064
37,WT,1,37,102,20.440881763527056
38,WT,1,38,105,21.042084168336675
39,WT,1,39,108,21.643286573146295
40,WT,1,40,111,22.244488977955914
41,WT,1,41,113,22.645290581162325
42,WT,1,42,116,23.246492985971944
43,WT,1,43,119,23.847695390781563
44,WT,1,44,122,24.448897795591183
45,WT,1,45,125,25.050100200400802
46,WT,1,46,127,25.450901803607216
47,WT,1,47,130,26.052104208416836
48,WT,1,48,133,26.653306613226455
49,WT,1,49,136,27.254509018036075
50,WT,1,50,138,27.655310621242485
51,WT,1,51,141,28.256513026052104
52,WT,1,52,144,28.857715430861724
53,WT,1,53,147,29.458917835671343
54,WT,1,54,150,30.060120240480963
55,WT,1,55,152,30.460921843687377
56,WT,1,56,155,31.062124248496996
57,WT,1,57,158,31.663326653306616
58,WT,1,58,161,32.26452905811623
59,WT,1,59,163,32.66533066132265
60,WT,1,60,166,33.26653306613227
61,WT,1,61,169,33.86773547094189
62,WT,1,62,172,34.46893787575151
63,WT,1,63,175,35.07014028056113
64,WT,1,64,177,35.47094188376754
65,WT,1,65,180,36.07214428857716
66,WT,1,66,183,36.673346693386776
67,WT,1,67,186,37.274549098196395
68,WT,1,68,188,37.675350701402806
69,WT,1,69,191,38.276553106212425
70,WT,1,70,194,38.877755511022045
71,WT,1,71,197,39.478957915831664
72,WT,1,72,200,40.08016032064128
73,WT,1,73,202,40.480961923847694
74,WT,1,74,205,41.08216432865731
75,WT,1,75,208,41.68336673346693
76,WT,1,76,211,42.28456913827655
77,WT,1,77,213,42.68537074148297
78,WT,1,78,216,43.28657314629259
79,WT,1,79,219,43.88777555110221
80,WT,1,80,222,44.48897795591183
81,WT,1,81,225,45.09018036072145
82,WT,1,82,227,45.49098196392786
83,WT,1,83,230,46.09218436873748
84,WT,1,84,233,46.6933867735471
85,WT,1,85,236,47.294589178356716
86,WT,1,86,238,47.69539078156313
87,WT,1,87,241,48.296593186372746
88,WT,1,88,244,48.897795591182366
89,WT,1,89,247,49.498997995991985
90,WT,1,90,250,50.100200400801604
91,WT,1,91,252,50.501002004008015
92,WT,1,92,255,51.102204408817634
93,WT,1,93,258,51.703406813627254
94,WT,1,94,261,52.30460921843687
95,WT,1,95,263,52.70541082164329
96,WT,1,96,266,53.30661322645291
97,WT,1,97,269,53.90781563126253
98,WT,1,98,272,54.50901803607215
99,WT,1,99,275,55.11022044088177
100,WT,1,100,277,55.51102204408818
101,WT,1,101,280,56.1122244488978
102,WT,1,102,283,56.71342685370742
103,WT,1,103,286,57.31462925851704
104,WT,1,104,288,57.71543086172345
105,WT,1,105,291,58.31663326653307
106,WT,1,106,294,58.91783567134269
107,WT,1,107,297,59.519038076152306
108,WT,1,108,300,60.120240480961925
109,WT,1,109,302,60.521042084168336
110,WT,1,110,305,61.122244488977955
111,WT,1,111,308,61.723446893787575
112,WT,1,112,311,62.324649298597194
113,WT,1,113,313,62.72545090180361
114,WT,1,114,316,63.32665330661323
115,WT,1,115,319,63.92785571142285
116,WT,1,116,322,64.52905811623246
117,WT,1,117,325,65.13026052104209
118,WT,1,118,327,65.53106212424849
119,WT,1,119,330,66.13226452905812
120,WT,1,120,333,66.73346693386773
121,WT,1,121,336,67.33466933867736
122,WT,1,122,338,67.73547094188378
123,WT,1,123,341,68.33667334669339
124,WT,1,124,344,68.93787575150301
125,WT,1,125,347,69.53907815631263
126,WT,1,126,350,70.14028056112225
127,WT,1,127,352,70.54108216432866
128,WT,1,128,355,71.14228456913828
129,WT,1,129,358,71.7434869739479
130,WT,1,130,361,72.34468937875752
131,WT,1,131,363,72.74549098196393
132,WT,1,132,366,73.34669338677355
133,WT,1,133,369,73.94789579158316
134,WT,1,134,372,74.54909819639279
135,WT,1,135,375,75.1503006012024
136,WT,1,136,377,75.55110220440882
137,WT,1,137,380,76.15230460921843
138,WT,1,138,383,76.75350701402806
139,WT,1,139,386,77.35470941883767
140,WT,1,140,388,77.75551102204409
141,WT,1,141,391,78.35671342685372
142,WT,1,142,394,78.95791583166333
143,WT,1,143,397,79.55911823647295
144,WT,1,144,400,80.16032064128257
145,WT,1,145,402,80.56112224448898
146,WT,1,146,405,81.1623246492986
147,WT,1,147,408,81.76352705410822
148,WT,1,148,411,82.36472945891784
149,WT,1,149,413,82.76553106212425
150,WT,1,150,416,83.36673346693387
151,WT,1,151,419,83.96793587174349
152,WT,1,152,422,84.5691382765531
153,WT,1,153,425,85.17034068136273
154,WT,1,154,427,85.57114228456913
155,WT,1,155,430,86.17234468937876
156,WT,1,156,433,86.77354709418837
157,WT,1,157,436,87.374749498998
158,WT,1,158,438,87.77555110220442
159,WT,1,159,441,88.37675350701403
160,WT,1,160,444,88.97795591182366
161,WT,1,161,447,89.57915831663327
162,WT,1,162,450,90.1803607214429
163,WT,1,163,452,90.5811623246493
164,WT,1,164,455,91.18236472945893
165,WT,1,165,458,91.78356713426854
166,WT,1,166,461,92.38476953907816
167,WT,1,167,463,92.78557114228457
168,WT,1,168,466,93.3867735470942
169,WT,1,169,469,93.9879759519038
170,WT,1,170,472,94.58917835671343
171,WT,1,171,475,95.19038076152304
172,WT,1,172,477,95.59118236472946
173,WT,1,173,480,96.19238476953907
174,WT,1,174,483,96.7935871743487
175,WT,1,175,486,97.39478957915831
176,WT,1,176,488,97.79559118236473
177,WT,1,177,491,98.39679358717436
178,WT,1,178,494,98.99799599198397
179,WT,1,179,497,99.5991983967936
180,WT,2,0,0,0.0
181,WT,2,1,1,0.5586592178770949
182,WT,2,2,2,1.1173184357541899
183,WT,2,3,3,1.6759776536312847
184,WT,2,4,4,2.2346368715083798
185,WT,2,5,5,2.793296089385475
186,WT,2,6,6,3.3519553072625694
187,WT,2,7,7,3.9106145251396645
188,WT,2,8,8,4.4692737430167595
189,WT,2,9,9,5.027932960893854
190,WT,2,10,10,5.58659217877095
191,WT,2,11,11,6.145251396648044
192,WT,2,12,12,6.703910614525139
193,WT,2,13,13,7.262569832402234
194,WT,2,14,14,7.821229050279329
195,WT,2,15,15,8.379888268156424
196,WT,2,16,16,8.938547486033519
197,WT,2,17,17,9.497206703910614
198,WT,2,18,18,10.055865921787708
199,WT,2,19,19,10.614525139664805
200,WT,2,20,20,11.1731843575419
201,WT,2,21,21,11.731843575418994
202,WT,2,22,22,12.290502793296088
203,WT,2,23,23,12.849162011173183
204,WT,2,24,24,13.407821229050278
205,WT,2,25,25,13.966480446927374
206,WT,2,26,26,14.525139664804469
207,WT,2,27,27,15.083798882681563
208,WT,2,28,28,15.642458100558658
209,WT,2,29,29,16.201117318435752
210,WT,2,30,30,16.75977653631285
211,WT,2,31,31,17.31843575418994
212,WT,2,32,32,17.877094972067038
213,WT,2,33,33,18.435754189944134
214,WT,2,34,34,18.994413407821227
215,WT,2,35,35,19.553072625698324
216,WT,2,36,36,20.111731843575416
217,WT,2,37,37,20.670391061452513
218,WT,2,38,38,21.22905027932961
219,WT,2,39,39,21.787709497206702
220,WT,2,40,40,22.3463687150838
221,WT,2,41,41,22.90502793296089
222,WT,2,42,42,23.463687150837988
223,WT,2,43,43,24.022346368715084
224,WT,2,44,44,24.581005586592177
225,WT,2,45,45,25.139664804469273
226,WT,2,46,46,25.698324022346366
227,WT,2,47,47,26.256983240223462
228,WT,2,48,48,26.815642458100555
229,WT,2,49,49,27.37430167597765
230,WT,2,50,50,27.932960893854748
231,WT,2,51,51,28.49162011173184
232,WT,2,52,52,29.050279329608937
233,WT,2,53,53,29.60893854748603
234,WT,2,54,54,30.167597765363126
235,WT,2,55,55,30.726256983240223
236,WT,2,56,56,31.284916201117316
237,WT,2,57,57,31.843575418994412
238,WT,2,58,58,32.402234636871505
239,WT,2,59,59,32.960893854748605
240,WT,2,60,60,33.5195530726257
241,WT,2,61,61,34.07821229050279
242,WT,2,62,62,34.63687150837988
243,WT,2,63,63,35.19553072625698
244,WT,2,64,64,35.754189944134076
245,WT,2,65,65,36.31284916201117
246,WT,2,66,66,36.87150837988827
247,WT,2,67,67,37.43016759776536
248,WT,2,68,68,37.988826815642454
249,WT,2,69,69,38.54748603351955
250,WT,2,70,70,39.10614525139665
251,WT,2,71,71,39.66480446927374
252,WT,2,72,72,40.22346368715083
253,WT,2,73,73,40.78212290502793
254,WT,2,74,74,41.340782122905026
255,WT,2,75,75,41.89944134078212
256,WT,2,76,76,42.45810055865922
257,WT,2,77,77,43.01675977653631
258,WT,2,78,78,43.575418994413404
259,WT,2,79,79,44.1340782122905
260,WT,2,80,80,44.6927374301676
261,WT,2,81,81,45.25139664804469
262,WT,2,82,82,45.81005586592178
263,WT,2,83,83,46.36871508379888
264,WT,2,84,84,46.927374301675975
265,WT,2,85,85,47.48603351955307
266,WT,2,86,86,48.04469273743017
267,WT,2,87,87,48.60335195530726
268,WT,2,88,88,49.162011173184354
269,WT,2,89,89,49.72067039106145
270,WT,2,90,90,50.279329608938546
271,WT,2,91,91,50.83798882681564
272,WT,2,92,92,51.39664804469273
273,WT,2,93,93,51.95530726256983
274,WT,2,94,94,52.513966480446925
275,WT,2,95,95,53.07262569832402
276,WT,2,96,96,53.63128491620111
277,WT,2,97,97,54.18994413407821
278,WT,2,98,98,54.7486033519553
279,WT,2,99,99,55.307262569832396
280,WT,2,100,100,55.865921787709496
281,WT,2,101,101,56.42458100558659
282,WT,2,102,102,56.98324022346368
283,WT,2,103,103,57.54189944134078
284,WT,2,104,104,58.100558659217874
285,WT,2,105,105,58.65921787709497
286,WT,2,106,106,59.21787709497206
287,WT,2,107,107,59.77653631284916
288,WT,2,108,108,60.33519553072625
289,WT,2,109,109,60.893854748603346
290,WT,2,110,110,61.452513966480446
291,WT,2,111,111,62.01117318435754
292,WT,2,112,112,62.56983240223463
293,WT,2,113,113,63.12849162011173
294,WT,2,114,114,63.687150837988824
295,WT,2,115,115,64.24581005586592
296,WT,2,116,116,64.80446927374301
297,WT,2,117,117,65.3631284916201
298,WT,2,118,118,65.92178770949721
299,WT,2,119,119,66.4804469273743
300,WT,2,120,120,67.0391061452514
301,WT,2,121,121,67.59776536312849
302,WT,2,122,122,68.15642458100558
303,WT,2,123,123,68.71508379888267
304,WT,2,124,124,69.27374301675977
305,WT,2,125,125,69.83240223463687
306,WT,2,126,126,70.39106145251397
307,WT,2,127,127,70.94972067039106
308,WT,2,128,128,71.50837988826815
309,WT,2,129,129,72.06703910614524
310,WT,2,130,130,72.62569832402234
311,WT,2,131,131,73.18435754189943
312,WT,2,132,132,73.74301675977654
313,WT,2,133,133,74.30167597765363
314,WT,2,134,134,74.86033519553072
315,WT,2,135,135,75.41899441340782
316,WT,2,136,136,75.97765363128491
317,WT,2,137,137,76.536312849162
318,WT,2,138,138,77.0949720670391
319,WT,2,139,139,77.6536312849162
320,WT,2,140,140,78.2122905027933
321,WT,2,141,141,78.77094972067039
322,WT,2,142,142,79.32960893854748
323,WT,2,143,143,79.88826815642457
324,WT,2,144,144,80.44692737430167
325,WT,2,145,145,81.00558659217877
326,WT,2,146,146,81.56424581005587
327,WT,2,147,147,82.12290502793296
