task_id,leg_id,phase,replicate,stage,lambda_state,direction,snapshot_index,snapshot_index_end,snapshot_time_ps,switch_ps,run_dir
0,wt_to_G190E,apo,1,em,,,,,,,em
1,wt_to_G190E,apo,1,equil,0,,,,,,eq_lambda0
2,wt_to_G190E,apo,1,extract,0,,,,,,snapshots/lambda0
3,wt_to_G190E,apo,1,equil,1,,,,,,eq_lambda1
4,wt_to_G190E,apo,1,extract,1,,,,,,snapshots/lambda1
5,wt_to_G190E,apo,1,switch,0,fwd,0,19,100.000,500.0,switches/fwd_bundle000
6,wt_to_G190E,apo,1,switch,0,fwd,20,39,4120.202,500.0,switches/fwd_bundle020
7,wt_to_G190E,apo,1,switch,0,fwd,40,59,8140.404,500.0,switches/fwd_bundle040
8,wt_to_G190E,apo,1,switch,0,fwd,60,79,12160.606,500.0,switches/fwd_bundle060
9,wt_to_G190E,apo,1,switch,0,fwd,80,99,16180.808,500.0,switches/fwd_bundle080
10,wt_to_G190E,apo,1,switch,1,rev,0,19,100.000,500.0,switches/rev_bundle000
11,wt_to_G190E,apo,1,switch,1,rev,20,39,4120.202,500.0,switches/rev_bundle020
12,wt_to_G190E,apo,1,switch,1,rev,40,59,8140.404,500.0,switches/rev_bundle040
13,wt_to_G190E,apo,1,switch,1,rev,60,79,12160.606,500.0,switches/rev_bundle060
14,wt_to_G190E,apo,1,switch,1,rev,80,99,16180.808,500.0,switches/rev_bundle080
