lambda,holo_Wf_mean,holo_G_fwd,holo_dissipation,apo_Wf_mean,apo_G_fwd,apo_dissipation
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,2.269595241676385378e-01,2.240073594715244198e-01,2.952164696114117914e-03,1.820171911564180123e-01,1.766134882289816799e-01,5.403702927436332404e-03
2.000000000000000042e-02,4.982730464030903361e-01,4.883768448656127248e-01,9.896201537477611332e-03,4.311053017129833353e-01,4.122571319553702263e-01,1.884816975761310909e-02
2.999999999999999889e-02,8.707672054986045351e-01,8.473875764980636216e-01,2.337962900054091353e-02,7.956541663550334986e-01,7.559840914999181871e-01,3.967007485511531151e-02
4.000000000000000083e-02,1.290454214191580240e+00,1.246029072694678552e+00,4.442514149690168779e-02,1.207556297995046046e+00,1.138424371557934744e+00,6.913192643711130181e-02
5.000000000000000278e-02,1.710918281083129822e+00,1.638290723103570823e+00,7.262755797955899872e-02,1.621208200567773927e+00,1.517747974086687934e+00,1.034602264810859928e-01
5.999999999999999778e-02,2.110103243365204939e+00,2.007716753660981013e+00,1.023864897042239264e-01,2.009812474189103693e+00,1.867186380771309606e+00,1.426260934177940864e-01
7.000000000000000666e-02,2.476396880101595865e+00,2.338620389908527386e+00,1.377764901930684793e-01,2.367014941389866678e+00,2.180183823497845896e+00,1.868311178920207816e-01
8.000000000000000167e-02,2.802033857531278205e+00,2.632261679015513334e+00,1.697721785157648711e-01,2.686507225209564087e+00,2.455590921507236679e+00,2.309163037023274079e-01
8.999999999999999667e-02,3.093533813852353820e+00,2.888396732812531287e+00,2.051370810398225331e-01,2.973274870958980021e+00,2.697328735385422060e+00,2.759461355735579602e-01
1.000000000000000056e-01,3.353849993947263020e+00,3.113629658481939622e+00,2.402203354653233980e-01,3.216376102157395334e+00,2.889030724475483591e+00,3.273453776819117422e-01
1.100000000000000006e-01,3.578092058265831543e+00,3.302518260462203425e+00,2.755737978036281177e-01,3.425281758962331224e+00,3.044974436393497186e+00,3.803073225688340386e-01
1.199999999999999956e-01,3.765820213730600940e+00,3.453893446910069720e+00,3.119267668205312205e-01,3.599991706081264731e+00,3.167409415238027659e+00,4.325822908432370717e-01
1.300000000000000044e-01,3.915635133389153033e+00,3.562127976523049799e+00,3.535071568661032337e-01,3.742909398333195803e+00,3.258049313522616064e+00,4.848600848105797390e-01
1.400000000000000133e-01,4.039010751927083476e+00,3.646470963426213796e+00,3.925397885008696797e-01,3.849781128609457426e+00,3.309923349145759808e+00,5.398577794636976179e-01
1.499999999999999944e-01,4.132515687113660796e+00,3.694599649453135015e+00,4.379160376605257810e-01,3.919549989530988210e+00,3.327701438782455501e+00,5.918485507485327091e-01
1.600000000000000033e-01,4.192282079991661803e+00,3.713769015237246229e+00,4.785130647544155735e-01,3.956589635002552008e+00,3.321582067003373773e+00,6.350075679991782351e-01
1.700000000000000122e-01,4.220958295568486562e+00,3.690015881269551379e+00,5.309424142989351836e-01,3.967631137637829486e+00,3.275842816922426959e+00,6.917883207154025271e-01
1.799999999999999933e-01,4.219254676400255200e+00,3.640149976118255193e+00,5.791047002820000067e-01,3.951449831947192237e+00,3.207263651518436731e+00,7.441861804287555060e-01
1.900000000000000022e-01,4.185807389514777377e+00,3.560682013589014705e+00,6.251253759257626719e-01,3.903866492684276324e+00,3.103527378483400323e+00,8.003391142008760006e-01
