mutation,time_ns,metric,metric_mean,metric_std,metric_sem,n_replicates
V106I,0.0,Pos227-DOR,3.521951198577881,0.28877198490105843,0.16672258321704864,3
V106I,0.200401,Pos227-DOR,3.51989951118543,0.21640457675147737,0.1249412406413325,3
V106I,0.278552,Pos227-DOR,3.5190994082847085,0.21556429495313265,0.12445610371886302,3
V106I,0.400802,Pos227-DOR,3.517847823792979,0.24806505758379457,0.14322042777254382,3
V106I,0.502513,Pos227-DOR,3.51680651573377,0.2976768342515127,0.1718638003866265,3
V106I,0.557103,Pos227-DOR,3.5162476282294466,0.329528354401755,0.19025328411946765,3
V106I,0.558659,Pos227-DOR,3.51623169804156,0.3304755954476508,0.19080017399230306,3
V106I,0.601202,Pos227-DOR,3.5136372829654188,0.3118798636038368,0.18006392320649894,3
V106I,0.801603,Pos227-DOR,3.5014161045959344,0.2321150668649008,0.13401169633741847,3
V106I,0.835655,Pos227-DOR,3.4993394903782526,0.22049012016301092,0.1273000302297673,3
V106I,1.002004,Pos227-DOR,3.489194926226451,0.17812848772835643,0.10284253034030755,3
V106I,1.005025,Pos227-DOR,3.4890106947113675,0.177646912290873,0.10256449263184138,3
V106I,1.114206,Pos227-DOR,3.4823524421299994,0.16913430584434913,0.09764973700843547,3
V106I,1.117318,Pos227-DOR,3.4821626611055247,0.1691587976447299,0.09766387735597826,3
V106I,1.202405,Pos227-DOR,3.479732940234474,0.13024218835925905,0.07519536250906415,3
V106I,1.392758,Pos227-DOR,3.474297304154312,0.12858859610305992,0.07424066057481771,3
V106I,1.402806,Pos227-DOR,3.474010377910263,0.13227661896450876,0.0763699415666527,3
V106I,1.507538,Pos227-DOR,3.4710196972383134,0.1827658569053147,0.10551991668295606,3
V106I,1.603206,Pos227-DOR,3.4682878441416087,0.2393910993117931,0.13821251562926418,3
V106I,1.671309,Pos227-DOR,3.466343124993672,0.2824519582884812,0.16307371415099156,3
V106I,1.675978,Pos227-DOR,3.4662098002981376,0.2854568384306282,0.1648085825099427,3
V106I,1.803607,Pos227-DOR,3.4630087444073965,0.22739120471684515,0.13128437325462386,3
V106I,1.949861,Pos227-DOR,3.4593405559216723,0.1608776835558172,0.09288277390755449,3
V106I,2.004008,Pos227-DOR,3.45798249800916,0.136267234676644,0.07867392462228633,3
V106I,2.01005,Pos227-DOR,3.457830958941301,0.13352190611214673,0.07708890843655986,3
V106I,2.204409,Pos227-DOR,3.4529562516109245,0.04552601823931433,0.02628445888559994,3
V106I,2.228412,Pos227-DOR,3.452354233695361,0.034825362021110653,0.020106432137514407,3
V106I,2.234637,Pos227-DOR,3.452198160192659,0.03207508898853799,0.018518561261813612,3
V106I,2.40481,Pos227-DOR,3.521272172178976,0.10582201572718276,0.06109636926627778,3
V106I,2.506964,Pos227-DOR,3.5627369557841906,0.16156902096892536,0.09328191774911336,3
V106I,2.512563,Pos227-DOR,3.565009615918944,0.1646585195556723,0.09506564058983266,3
V106I,2.60521,Pos227-DOR,3.6026154640176213,0.21603160735688998,0.12472590666096797,3
V106I,2.785515,Pos227-DOR,3.675802101916659,0.31670433893609823,0.1828493353382788,3
V106I,2.793296,Pos227-DOR,3.6789604459974794,0.3210593931495156,0.18536372706073073,3
V106I,2.805611,Pos227-DOR,3.6778905981514836,0.3120291834873302,0.18015013308142924,3
V106I,3.006012,Pos227-DOR,3.660480333810819,0.1804328383196441,0.10417294777449475,3
V106I,3.015075,Pos227-DOR,3.6596929663539726,0.1757332644601872,0.10145964754166077,3
V106I,3.064067,Pos227-DOR,3.6554366818515107,0.1540039467815387,0.08891422013058617,3
V106I,3.206413,Pos227-DOR,3.6430700694701543,0.14468455482835216,0.0835336666777303,3
V106I,3.342618,Pos227-DOR,3.6312369695628672,0.20830680270871982,0.12026598861790966,3
V106I,3.351955,Pos227-DOR,3.630425797771565,0.21408187717535695,0.12360022941581275,3
V106I,3.406814,Pos227-DOR,3.6251698153078795,0.17739230576092507,0.1024174954832385,3
V106I,3.517588,Pos227-DOR,3.6145566706015746,0.1055853589328761,0.06095973540237928,3
V106I,3.607214,Pos227-DOR,3.6059696943485977,0.05663774771243261,0.03269981888806708,3
V106I,3.62117,Pos227-DOR,3.604632584128499,0.05153178380290376,0.029751889250428085,3
V106I,3.807615,Pos227-DOR,3.586769477580329,0.1138390642918944,0.06572501441322035,3
V106I,3.899721,Pos227-DOR,3.5779448950400314,0.17375651284165947,0.10031836946258277,3
V106I,3.910615,Pos227-DOR,3.576901164639711,0.18099796344932076,0.10449922292023939,3
V106I,4.008016,Pos227-DOR,3.5701746709526065,0.11858490024819306,0.06846502408011919,3
V106I,4.020101,Pos227-DOR,3.5693400832562925,0.11181627907583828,0.06455715882421756,3
V106I,4.178273,Pos227-DOR,3.5584167563964364,0.08699942829224805,0.050229143343872955,3
V106I,4.208417,Pos227-DOR,3.5563350177520276,0.09945380171672878,0.05741967919308503,3
V106I,4.408818,Pos227-DOR,3.5424953645514488,0.22777624616953426,0.13150667704098307,3
V106I,4.456825,Pos227-DOR,3.53918001067996,0.262287799561661,0.15143193168207958,3
V106I,4.469274,Pos227-DOR,3.538320390352974,0.27131728821026563,0.15664510938399615,3
V106I,4.522613,Pos227-DOR,3.5564588499523353,0.25515995672542724,0.14731666970183868,3
V106I,4.609218,Pos227-DOR,3.5859097450497814,0.23751301780319117,0.1371282047647128,3
V106I,4.735376,Pos227-DOR,3.628811032778015,0.2346941878799928,0.13550075254975447,3
V106I,4.809619,Pos227-DOR,3.654058106327114,0.24613074283240016,0.14210365063012878,3
V106I,5.01002,Pos227-DOR,3.722206467604446,0.3141072741414793,0.18134991928000266,3
V106I,5.013928,Pos227-DOR,3.723535422030182,0.31582142054616574,0.1823395821681788,3
V106I,5.025126,Pos227-DOR,3.727343413754692,0.32079375019208545,0.1852103580277501,3
V106I,5.027933,Pos227-DOR,3.7282979053732004,0.32205381016385765,0.18593785399164786,3
V106I,5.210421,Pos227-DOR,3.5254737001262373,0.2619224803539292,0.15122101453915548,3
V106I,5.292479,Pos227-DOR,3.434271272382192,0.41469006995937496,0.23942142352130988,3
V106I,5.410822,Pos227-DOR,3.302740295432797,0.6717251774130922,0.38782071200089796,3
V106I,5.527638,Pos227-DOR,3.17290648520895,0.9368251409533677,0.540876247313036,3
V106I,5.571031,Pos227-DOR,3.1246778305123044,1.0364374192517556,0.5983874230032021,3
V106I,5.586592,Pos227-DOR,3.107382734627381,1.0722527900418364,0.6190654369699815,3
V106I,5.611222,Pos227-DOR,3.1044471711284607,1.0501767686132353,0.6063198400555427,3
V106I,5.811623,Pos227-DOR,3.0805635206133317,0.8720042097476591,0.5034518652322979,3
V106I,5.849582,Pos227-DOR,3.0760395936374,0.8386283374461965,0.48418229637460986,3
V106I,6.012024,Pos227-DOR,3.0566798700982027,0.6978185957583084,0.402885754106586,3
V106I,6.030151,Pos227-DOR,3.054519506961853,0.6823649794124608,0.3939636045493577,3
V106I,6.128134,Pos227-DOR,3.0428419617977873,0.6000922991761425,0.34646345046796734,3
V106I,6.145251,Pos227-DOR,3.0408019697525006,0.5859795903253827,0.33831547421398633,3
V106I,6.212425,Pos227-DOR,3.0301792282001174,0.6305702091665343,0.3640598800052572,3
V106I,6.406685,Pos227-DOR,2.9994593547991113,0.759711162477314,0.43861944416264076,3
V106I,6.412826,Pos227-DOR,2.9984882297988253,0.7637970956687503,0.4409784587906074,3
V106I,6.532663,Pos227-DOR,2.979537455224768,0.8435630506072166,0.4870313543464984,3
V106I,6.613226,Pos227-DOR,2.966797389535459,0.8972164416907972,0.51800815413154,3
V106I,6.685237,Pos227-DOR,2.955409719384734,0.9451903216692102,0.5457058866511475,3
V106I,6.703911,Pos227-DOR,2.952456657039504,0.9576328160506771,0.5528895641316778,3
V106I,6.813627,Pos227-DOR,2.936607773627505,0.9368338582986393,0.5408812802746752,3
V106I,6.963788,Pos227-DOR,2.914916459853497,0.9083832136265717,0.5244552929146385,3
V106I,7.014028,Pos227-DOR,2.9076591053872494,0.8988686236617054,0.5189620418371941,3
V106I,7.035176,Pos227-DOR,2.904604198296242,0.8948642261250465,0.5166501018414618,3
V106I,7.214429,Pos227-DOR,2.8787104371469927,0.860939267975913,0.49706351812181276,3
V106I,7.24234,Pos227-DOR,2.874678589605045,0.8556597449421369,0.4940153840770693,3
