feature,pearson_r,pearson_pvalue,pearson_abs,spearman_rho,spearman_pvalue,spearman_abs,r_squared
binding_dg_electrostatic_mean,0.6530333495654431,0.0024339505169612,0.6530333495654431,0.5204037359252778,0.0223567852408116,0.5204037359252778,0.4264525556446622
residue_min_distance_PRO225_angstrom_repstd,0.4775659318723797,0.0386556438631355,0.4775659318723797,0.2176393364409256,0.3707544493755507,0.2176393364409256,0.22806921928513443
residue_min_distance_LYS101_angstrom_repstd,0.4616441070307961,0.0466266087035962,0.4616441070307961,0.5844669277002276,0.0085883012471314,0.5844669277002276,0.21311528155626114
residue_min_distance_TYR318_angstrom_repstd,-0.4466165626746821,0.0552473632589008,0.4466165626746821,-0.3422554081127459,0.1514806782098251,0.3422554081127459,0.19946635405534824
ligand_pose_rmsd_angstrom_mean,0.4386749491990543,0.060264073474934,0.4386749491990543,0.2992540876062726,0.2132685406776098,0.2992540876062726,0.19243571105479287
residue_min_distance_VAL179_angstrom_repstd,-0.4170287205635359,0.0756774846793578,0.4170287205635359,-0.5010970205958408,0.0288491778668188,0.5010970205958408,0.1739129537748597
residue_min_distance_PRO236_angstrom_mean,0.3991432838609041,0.0904721738915025,0.3991432838609041,0.50636248841296,0.0269484795580133,0.50636248841296,0.15931536105126626
residue_min_distance_VAL106_angstrom_mean,0.3644002419059993,0.1250664636133447,0.3644002419059993,0.3220711148137891,0.1787126633560611,0.3220711148137891,0.1327875363011508
ligand_palm_depth_projection_angstrom_mean,-0.3592435939576592,0.1309025737400693,0.3592435939576592,-0.2053532448676475,0.3990111983489796,0.2053532448676475,0.1290559597996155
ligand_palm_distance_angstrom_repstd,-0.356425039851133,0.1341723210081838,0.356425039851133,-0.3615621234421828,0.1282552864097772,0.3615621234421828,0.12703880903288176
ligand_pose_rmsd_angstrom_repstd,0.3555343126774171,0.1352174552469661,0.3555343126774171,0.2694164366425974,0.2646721906037536,0.2694164366425974,0.12640464749100339
ligand_entrance_distance_angstrom_mean,-0.3465864438286304,0.1460346460837979,0.3465864438286304,-0.1816586396906113,0.4566939421605582,0.1816586396906113,0.12012216304577639
residue_min_distance_VAL108_angstrom_mean,-0.3282065172977391,0.1701086835028956,0.3282065172977391,-0.6222027803895817,0.004445500934927,0.6222027803895817,0.1077195179967111
