global_frame_index,mutation,replicate,frame_local_index,frame_window_index,time_ns
0,Y181C,1,0,0,0.0
1,Y181C,1,1,1,0.5586592178770949
2,Y181C,1,2,2,1.1173184357541899
3,Y181C,1,3,3,1.6759776536312847
4,Y181C,1,4,4,2.2346368715083798
5,Y181C,1,5,5,2.793296089385475
6,Y181C,1,6,6,3.3519553072625694
7,Y181C,1,7,7,3.9106145251396645
8,Y181C,1,8,8,4.4692737430167595
9,Y181C,1,9,9,5.027932960893854
10,Y181C,1,10,10,5.58659217877095
11,Y181C,1,11,11,6.145251396648044
12,Y181C,1,12,12,6.703910614525139
13,Y181C,1,13,13,7.262569832402234
14,Y181C,1,14,14,7.821229050279329
15,Y181C,1,15,15,8.379888268156424
16,Y181C,1,16,16,8.938547486033519
17,Y181C,1,17,17,9.497206703910614
18,Y181C,1,18,18,10.055865921787708
19,Y181C,1,19,19,10.614525139664805
20,Y181C,1,20,20,11.1731843575419
21,Y181C,1,21,21,11.731843575418994
22,Y181C,1,22,22,12.290502793296088
23,Y181C,1,23,23,12.849162011173183
24,Y181C,1,24,24,13.407821229050278
25,Y181C,1,25,25,13.966480446927374
26,Y181C,1,26,26,14.525139664804469
27,Y181C,1,27,27,15.083798882681563
28,Y181C,1,28,28,15.642458100558658
29,Y181C,1,29,29,16.201117318435752
30,Y181C,1,30,30,16.75977653631285
31,Y181C,1,31,31,17.31843575418994
32,Y181C,1,32,32,17.877094972067038
33,Y181C,1,33,33,18.435754189944134
34,Y181C,1,34,34,18.994413407821227
35,Y181C,1,35,35,19.553072625698324
36,Y181C,1,36,36,20.111731843575416
37,Y181C,1,37,37,20.670391061452513
38,Y181C,1,38,38,21.22905027932961
39,Y181C,1,39,39,21.787709497206702
40,Y181C,1,40,40,22.3463687150838
41,Y181C,1,41,41,22.90502793296089
42,Y181C,1,42,42,23.463687150837988
43,Y181C,1,43,43,24.022346368715084
44,Y181C,1,44,44,24.581005586592177
45,Y181C,1,45,45,25.139664804469273
46,Y181C,1,46,46,25.698324022346366
47,Y181C,1,47,47,26.256983240223462
48,Y181C,1,48,48,26.815642458100555
49,Y181C,1,49,49,27.37430167597765
50,Y181C,1,50,50,27.932960893854748
51,Y181C,1,51,51,28.49162011173184
52,Y181C,1,52,52,29.050279329608937
53,Y181C,1,53,53,29.60893854748603
54,Y181C,1,54,54,30.167597765363126
55,Y181C,1,55,55,30.726256983240223
56,Y181C,1,56,56,31.284916201117316
57,Y181C,1,57,57,31.843575418994412
58,Y181C,1,58,58,32.402234636871505
59,Y181C,1,59,59,32.960893854748605
60,Y181C,1,60,60,33.5195530726257
61,Y181C,1,61,61,34.07821229050279
62,Y181C,1,62,62,34.63687150837988
63,Y181C,1,63,63,35.19553072625698
64,Y181C,1,64,64,35.754189944134076
65,Y181C,1,65,65,36.31284916201117
66,Y181C,1,66,66,36.87150837988827
67,Y181C,1,67,67,37.43016759776536
68,Y181C,1,68,68,37.988826815642454
69,Y181C,1,69,69,38.54748603351955
70,Y181C,1,70,70,39.10614525139665
71,Y181C,1,71,71,39.66480446927374
72,Y181C,1,72,72,40.22346368715083
73,Y181C,1,73,73,40.78212290502793
74,Y181C,1,74,74,41.340782122905026
75,Y181C,1,75,75,41.89944134078212
76,Y181C,1,76,76,42.45810055865922
77,Y181C,1,77,77,43.01675977653631
78,Y181C,1,78,78,43.575418994413404
79,Y181C,1,79,79,44.1340782122905
80,Y181C,1,80,80,44.6927374301676
81,Y181C,1,81,81,45.25139664804469
82,Y181C,1,82,82,45.81005586592178
83,Y181C,1,83,83,46.36871508379888
84,Y181C,1,84,84,46.927374301675975
85,Y181C,1,85,85,47.48603351955307
86,Y181C,1,86,86,48.04469273743017
87,Y181C,1,87,87,48.60335195530726
88,Y181C,1,88,88,49.162011173184354
89,Y181C,1,89,89,49.72067039106145
90,Y181C,1,90,90,50.279329608938546
91,Y181C,1,91,91,50.83798882681564
92,Y181C,1,92,92,51.39664804469273
93,Y181C,1,93,93,51.95530726256983
94,Y181C,1,94,94,52.513966480446925
95,Y181C,1,95,95,53.07262569832402
96,Y181C,1,96,96,53.63128491620111
97,Y181C,1,97,97,54.18994413407821
98,Y181C,1,98,98,54.7486033519553
99,Y181C,1,99,99,55.307262569832396
100,Y181C,1,100,100,55.865921787709496
101,Y181C,1,101,101,56.42458100558659
102,Y181C,1,102,102,56.98324022346368
103,Y181C,1,103,103,57.54189944134078
104,Y181C,1,104,104,58.100558659217874
105,Y181C,1,105,105,58.65921787709497
106,Y181C,1,106,106,59.21787709497206
107,Y181C,1,107,107,59.77653631284916
108,Y181C,1,108,108,60.33519553072625
109,Y181C,1,109,109,60.893854748603346
110,Y181C,1,110,110,61.452513966480446
111,Y181C,1,111,111,62.01117318435754
112,Y181C,1,112,112,62.56983240223463
113,Y181C,1,113,113,63.12849162011173
114,Y181C,1,114,114,63.687150837988824
115,Y181C,1,115,115,64.24581005586592
116,Y181C,1,116,116,64.80446927374301
117,Y181C,1,117,117,65.3631284916201
118,Y181C,1,118,118,65.92178770949721
119,Y181C,1,119,119,66.4804469273743
120,Y181C,1,120,120,67.0391061452514
121,Y181C,1,121,121,67.59776536312849
122,Y181C,1,122,122,68.15642458100558
123,Y181C,1,123,123,68.71508379888267
124,Y181C,1,124,124,69.27374301675977
125,Y181C,1,125,125,69.83240223463687
126,Y181C,1,126,126,70.39106145251397
127,Y181C,1,127,127,70.94972067039106
128,Y181C,1,128,128,71.50837988826815
129,Y181C,1,129,129,72.06703910614524
130,Y181C,1,130,130,72.62569832402234
131,Y181C,1,131,131,73.18435754189943
132,Y181C,1,132,132,73.74301675977654
133,Y181C,1,133,133,74.30167597765363
134,Y181C,1,134,134,74.86033519553072
135,Y181C,1,135,135,75.41899441340782
136,Y181C,1,136,136,75.97765363128491
137,Y181C,1,137,137,76.536312849162
138,Y181C,1,138,138,77.0949720670391
139,Y181C,1,139,139,77.6536312849162
140,Y181C,1,140,140,78.2122905027933
141,Y181C,1,141,141,78.77094972067039
142,Y181C,1,142,142,79.32960893854748
143,Y181C,1,143,143,79.88826815642457
144,Y181C,1,144,144,80.44692737430167
145,Y181C,1,145,145,81.00558659217877
146,Y181C,1,146,146,81.56424581005587
147,Y181C,1,147,147,82.12290502793296
148,Y181C,1,148,148,82.68156424581005
149,Y181C,1,149,149,83.24022346368714
150,Y181C,1,150,150,83.79888268156424
151,Y181C,1,151,151,84.35754189944133
152,Y181C,1,152,152,84.91620111731844
153,Y181C,1,153,153,85.47486033519553
154,Y181C,1,154,154,86.03351955307262
155,Y181C,1,155,155,86.59217877094972
156,Y181C,1,156,156,87.15083798882681
157,Y181C,1,157,157,87.7094972067039
158,Y181C,1,158,158,88.268156424581
159,Y181C,1,159,159,88.8268156424581
160,Y181C,1,160,160,89.3854748603352
161,Y181C,1,161,161,89.94413407821229
162,Y181C,1,162,162,90.50279329608938
163,Y181C,1,163,163,91.06145251396647
164,Y181C,1,164,164,91.62011173184356
165,Y181C,1,165,165,92.17877094972066
